Disease,Description
Fungal infection,"Fungal infection is an infectious disease caused by pathogenic microorganisms, potentially causing local or systemic inflammation and tissue damage."
Allergy,"Allergy is an allergic condition where the immune system overreacts to normally harmless substances, causing inflammatory responses."
GERD,"Gastroesophageal Reflux Disease (GERD) is a chronic condition where stomach acid frequently flows back into the esophagus, causing heartburn and potentially damaging the esophageal lining."
Chronic cholestasis,"Chronic cholestasis is a hepatic condition affecting liver structure or function, potentially impairing the liver's ability to detoxify, synthesize proteins, and produce bile."
Drug Reaction,Drug Reaction is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Peptic ulcer disease,"Peptic ulcer disease involves painful sores that develop on the inner lining of the stomach, small intestine, or esophagus, often caused by H. pylori bacteria or NSAIDs."
AIDS,AIDS is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Diabetes,Diabetes is a group of metabolic disorders characterized by high blood sugar levels due to problems with insulin production or function.
Gastroenteritis,"Gastroenteritis is inflammation of the stomach and intestines, typically caused by viral or bacterial infection, resulting in diarrhea, vomiting, and abdominal pain."
Bronchial Asthma,"Bronchial Asthma is a respiratory disorder affecting the lungs, airways, or breathing mechanism, potentially impairing gas exchange and oxygenation."
Hypertension,"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is consistently too high, potentially damaging blood vessels and organs."
Migraine,"Migraine is a neurological disorder characterized by recurrent, severe headaches often accompanied by nausea, vomiting, and sensitivity to light and sound."
Cervical spondylosis,Cervical spondylosis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Paralysis (brain hemorrhage),"Paralysis (brain hemorrhage) is a neurological disorder affecting the central or peripheral nervous system, potentially impairing motor, sensory, or cognitive function."
Jaundice,"Jaundice is a hepatic condition affecting liver structure or function, potentially impairing the liver's ability to detoxify, synthesize proteins, and produce bile."
Malaria,Malaria is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Chicken pox,Chicken pox is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Dengue,Dengue is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Typhoid,Typhoid is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
hepatitis A,"hepatitis A is a hepatic condition affecting liver structure or function, potentially impairing the liver's ability to detoxify, synthesize proteins, and produce bile."
