Disease,Diet
Gestational Cholestasis,"['Liver-Healthy Diet', 'Low-fat foods', 'High-protein diet', 'Fruits and vegetables', 'Whole grains']"
Injury to Internal Organ,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Scabies,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Congenital Glaucoma,"['Eye-Healthy Diet', 'Vitamin A sources', 'Antioxidant-rich foods', 'Omega-3 fatty acids', 'Lutein-rich foods']"
Avoidant/Restrictive Food Intake Disorder (ARFID),"['Mental Health Diet', 'Omega-3 rich foods', 'Complex carbohydrates', 'Protein-rich foods', 'B-vitamin sources']"
Subdural hemorrhage,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Poisoning due to Antidepressants,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Mittelschmerz,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Cornea Infection,"['Immune-Boosting Diet', 'Protein-rich foods', 'Vitamin C sources', 'Probiotics', 'Hydration']"
Myopia,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Abscess of the Lung,"['Respiratory-Healthy Diet', 'Anti-inflammatory foods', 'Omega-3 rich foods', 'Fruits and vegetables', 'Hydration']"
Congenital rubella,"['Pediatric Diet', 'Age-appropriate nutrition', 'Growth-supporting foods', 'Vitamin-rich foods', 'Balanced nutrition']"
Intertrigo,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Insect Bites,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Complex Regional Pain Syndrome,"['Anti-Inflammatory Diet', 'Omega-3 rich foods', 'Turmeric', 'Ginger', 'Antioxidant-rich foods']"
Anxiety,"['Mental Health Diet', 'Omega-3 rich foods', 'Complex carbohydrates', 'Protein-rich foods', 'B-vitamin sources']"
Gastroesophageal Reflux Disease (GERD),"['Digestive-Friendly Diet', 'Bland foods', 'Probiotics', 'Fiber-rich foods', 'Hydration']"
Crushing Injury,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Cellulitis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Anal Fissure,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Neuropathic Pain,"['Brain-Healthy Diet', 'Omega-3 rich foods', 'Antioxidants', 'Mediterranean diet', 'Low-sodium foods']"
Common Cold,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Food Allergy,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Pulmonary Fibrosis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Hyperosmotic Hyperketotic State,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Overflow Incontinence,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
